ROOT,PRODUCT_SIZE,CURRENCY,COMMISSION_USD,TICK_SIZE,QUATERLY_EXP,NUM_EXP,TRADING_START,TRADING_END,KO_EXCHANGE,EXTERNAL_EXCHANGE,DESC,TYPE,RIC,LATENCY_NY4,LATENCY_TELCITY,WQ_EXCHANGE_CODE,SUBMIT_LATENCY,AMEND_LATENCY
CRA,2500,CAD,1.11,0.005,1,8,120000,223000,XTMX,TMX,Canadian Interest Rate Future,FUTURE,CRA,17000,38000,4100,27000,22000
CGB,1000,CAD,1.11,0.01,1,2,120000,223000,XTMX,TMX,Canadian Bond Future,FUTURE,CGB,17000,38000,4100,27000,22000
SXF,200,CAD,1.34,0.1,1,2,120000,223000,XTMX,TMX,Canadian Stock Index Future,FUTURE,SXF,17000,38000,53,27000,22000
CL,1000,USD,1,0.01,0,2,020000,220000,XCME,CME_FUT,Crude Oil Future,FUTURE,CL,8000,58000,1002,500,500
RB,42000,USD,1,0.0001,0,2,020000,220000,XCME,CME_FUT,Gasoline Future,FUTURE,RB,8000,58000,0,500,500
HO,42000,USD,1,0.0001,0,2,020000,220000,XCME,CME_FUT,Heating Oil Future,FUTURE,HO,8000,58000,0,500,500
BZ,1000,USD,1,0.01,0,2,020000,220000,XCME,CME_FUT,Brent Oil Future,FUTURE,BZZ,8000,58000,0,500,500
PL,50,USD,1,0.1,1,2,020000,220000,XCME,CME_FUT,Platinum Future,FUTURE,PL,8000,58000,0,500,500
GC,100,USD,1,0.1,1,2,020000,220000,XCME,CME_FUT,Gold Future,FUTURE,GC,8000,58000,1005,500,500
SI,5000,USD,1,0.005,1,2,020000,220000,XCME,CME_FUT,Silver Future,FUTURE,SI,8000,58000,0,500,500
HG,25000,USD,1,0.0005,1,2,020000,220000,XCME,CME_FUT,Copper Future,FUTURE,HG,8000,58000,0,500,500
EURUSD,1,USD,0.00000145,0.00001,1,1,020000,220000,CFX,CURRENCY,EUR/GBP,FX,NONE,2000,50000,1400,500,500
GBPUSD,1,USD,0.00000145,0.00001,1,1,020000,220000,CFX,CURRENCY,EUR/GBP,FX,NONE,2000,50000,1400,500,500
EURGBP,1,GBP,0.00000145,0.00001,1,1,020000,220000,CFX,CURRENCY,EUR/GBP,FX,NONE,2000,50000,1400,500,500
EURJPY,1,JPY,0.00000145,0.001,1,1,020000,220000,CFX,CURRENCY,EUR/JPY,FX,NONE,2000,50000,1400,500,500
EURAUD,1,AUD,0.00000145,0.00001,1,1,020000,220000,CFX,CURRENCY,EUR/AUD,FX,NONE,2000,50000,1400,500,500
EURCAD,1,CAD,0.00000145,0.00001,1,1,020000,220000,CFX,CURRENCY,EUR/CAD,FX,NONE,2000,50000,1400,500,500
USDCAD,1,CAD,0.00000145,0.00001,1,1,020000,220000,CFX,CURRENCY,USD/CAD,FX,NONE,2000,50000,1400,500,500
GBPCAD,1,CAD,0.00000145,0.00001,1,1,020000,220000,CFX,CURRENCY,GBP/CAD,FX,NONE,2000,50000,1400,500,500
EURCHF,1,CHF,0.00000145,0.00001,1,1,020000,220000,CFX,CURRENCY,EUR/CHF,FX,NONE,2000,50000,1400,500,500
GBPJPY,1,JPY,0.00000145,0.001,1,1,020000,220000,CFX,CURRENCY,GBP/JPY,FX,NONE,2000,50000,1400,500,500
AUDJPY,1,JPY,0.00000145,0.001,1,1,020000,220000,CFX,CURRENCY,AUD/JPY,FX,NONE,2000,50000,1400,500,500
