Period 144: 2017-10-16 2019-10-11 2019-10-12 2019-10-18
Period 145: 2017-10-23 2019-10-18 2019-10-19 2019-10-25
Period 146: 2017-10-30 2019-10-25 2019-10-26 2019-11-01
Period 147: 2017-11-06 2019-11-01 2019-11-02 2019-11-08
Period 148: 2017-11-13 2019-11-08 2019-11-09 2019-11-15
Period 149: 2017-11-20 2019-11-15 2019-11-16 2019-11-22
Period 150: 2017-11-27 2019-11-22 2019-11-23 2019-11-29
Period 151: 2017-12-04 2019-11-29 2019-11-30 2019-12-06
Period 152: 2017-12-11 2019-12-06 2019-12-07 2019-12-13
Period 153: 2017-12-18 2019-12-13 2019-12-14 2019-12-20
Period 154: 2017-12-25 2019-12-20 2019-12-21 2019-12-27
Period 155: 2018-01-01 2019-12-27 2019-12-28 2020-01-03
Period 156: 2018-01-08 2020-01-03 2020-01-04 2020-01-10
Period 157: 2018-01-15 2020-01-10 2020-01-11 2020-01-17
Period 158: 2018-01-22 2020-01-17 2020-01-18 2020-01-24
Period 159: 2018-01-29 2020-01-24 2020-01-25 2020-01-31
Period 160: 2018-02-05 2020-01-31 2020-02-01 2020-02-07
Period 161: 2018-02-12 2020-02-07 2020-02-08 2020-02-14
Period 162: 2018-02-19 2020-02-14 2020-02-15 2020-02-21
Period 163: 2018-02-26 2020-02-21 2020-02-22 2020-02-28
Period 164: 2018-03-05 2020-02-28 2020-02-29 2020-03-06
Period 165: 2018-03-12 2020-03-06 2020-03-07 2020-03-13
Period 166: 2018-03-19 2020-03-13 2020-03-14 2020-03-20
Period 167: 2018-03-26 2020-03-20 2020-03-21 2020-03-27
Period 168: 2018-04-02 2020-03-27 2020-03-28 2020-04-03
Period 169: 2018-04-09 2020-04-03 2020-04-04 2020-04-10
Period 170: 2018-04-16 2020-04-10 2020-04-11 2020-04-17
Period 171: 2018-04-23 2020-04-17 2020-04-18 2020-04-24
Period 172: 2018-04-30 2020-04-24 2020-04-25 2020-05-01
Period 173: 2018-05-07 2020-05-01 2020-05-02 2020-05-08
Period 174: 2018-05-14 2020-05-08 2020-05-09 2020-05-15
Period 175: 2018-05-21 2020-05-15 2020-05-16 2020-05-22
Period 176: 2018-05-28 2020-05-22 2020-05-23 2020-05-29
Period 177: 2018-06-04 2020-05-29 2020-05-30 2020-06-05
Period 178: 2018-06-11 2020-06-05 2020-06-06 2020-06-12
Period 179: 2018-06-18 2020-06-12 2020-06-13 2020-06-19
Period 180: 2018-06-25 2020-06-19 2020-06-20 2020-06-26
Period 181: 2018-07-02 2020-06-26 2020-06-27 2020-07-03
Period 182: 2018-07-09 2020-07-03 2020-07-04 2020-07-10
Period 183: 2018-07-16 2020-07-10 2020-07-11 2020-07-17
Period 184: 2018-07-23 2020-07-17 2020-07-18 2020-07-24
Period 185: 2018-07-30 2020-07-24 2020-07-25 2020-07-31
Period 186: 2018-08-06 2020-07-31 2020-08-01 2020-08-07
Period 187: 2018-08-13 2020-08-07 2020-08-08 2020-08-14
Period 188: 2018-08-20 2020-08-14 2020-08-15 2020-08-21
Period 189: 2018-08-27 2020-08-21 2020-08-22 2020-08-28
Period 190: 2018-09-03 2020-08-28 2020-08-29 2020-09-04
Period 191: 2018-09-10 2020-09-04 2020-09-05 2020-09-11
